,0
RNU7-160P,0.00031196933904413375
PLCXD3,0.00031164117453930064
CCDC81,0.0003099502692104939
RPS2P46,0.00030941465154995845
NR5A2,0.00030832212843304353
STAC,0.0003071089928390737
TFAP2A,0.00030684228861193946
AC126615.1,0.00030653200977974487
GPM6A,0.0003062093853846727
NCCRP1,0.0003061807665986066
AC093110.1,0.0003057068408300727
RNU6-1189P,0.0003055112684925643
STK32A,0.0003053842365738877
TNS4,0.0003052320558427829
SERPINB5,0.0003051928773208084
RF00019,0.0003043254889178391
SGPL1,0.000303896020529518
RNU7-115P,0.00030388915767808977
TMEM236,0.0003024560654188682
MUC21,0.00030228063836680813
EMP2,0.0003020870703396422
LINC00924,0.0003014111242784125
PGM5P4,0.0003011049245645496
ALKAL2,0.00030067809361687074
IGKV3OR22-2,0.0003003924576914078
EIF5AL1,0.0003002848451362787
KLK4,0.00030020207808460064
PARAL1,0.0002999293755488331
TRAV39,0.00029938138819154254
AC012464.1,0.00029842772846805826
MIR3145,0.0002980478362321354
PCOLCE2,0.0002977243313932885
NETO1,0.00029761605446307213
SLC2A1,0.0002974628243942959
CR381670.1,0.00029720573410724953
AMPD3,0.0002961142053449223
ANGPT4,0.00029605631503206944
PYGM,0.00029604055782171045
AC027288.1,0.0002957449183486865
GRP,0.0002956166601782086
RNU6-824P,0.0002948933457841584
BNIP3P5,0.0002948549522681449
GPBAR1,0.00029300887418627197
CD300LG,0.0002927059777528852
AC009093.4,0.0002925563694759319
AL354714.3,0.00029248816848728373
AC027277.2,0.0002910577693881018
PI15,0.0002907573754344347
RHOXF1P1,0.0002904004728141823
PRSS1,0.0002898952822311675
GPA33,0.00028982134227505623
CHIT1,0.00028937328357351314
MIR3193,0.0002890645213678835
PDE2A,0.0002890229007987543
AL391903.1,0.00028852493735039963
AC129507.2,0.0002883010365791067
KLHL4,0.0002876390999642059
AC020604.1,0.0002873005030674933
AC098935.2,0.0002866539174125353
AC092691.1,0.0002864761615099103
BEST4,0.00028586399984740265
